Marital status;Application mode;Application order;Course;Daytime/evening attendance	;Previous qualification;Previous qualification (grade);Nacionality;Mother's qualification;Father's qualification;Mother's occupation;Father's occupation;Admission grade;Displaced;Educational special needs;Debtor;Tuition fees up to date;Gender;Scholarship holder;Age at enrollment;International;Curricular units 1st sem (credited);Curricular units 1st sem (enrolled);Curricular units 1st sem (evaluations);Curricular units 1st sem (approved);Curricular units 1st sem (grade);Curricular units 1st sem (without evaluations);Curricular units 2nd sem (credited);Curricular units 2nd sem (enrolled);Curricular units 2nd sem (evaluations);Curricular units 2nd sem (approved);Curricular units 2nd sem (grade);Curricular units 2nd sem (without evaluations);Unemployment rate;Inflation rate;GDP;Target
1;1;2;9853;1;Secondary;133.0;Portugese;Basic_Education;Basic_Education;Administrative;Unskilled/Elementary;130.2;1;0;0;1;0;0;19;0;0;6;6;0;0.0;0;0;6;0;0;0.0;0;12.7;3.7;-1.7;1
1;53;1;9254;1;Technical/Specialized;110.0;Portugese;Secondary;Secondary;Administrative;Skilled Trades;111.8;1;0;0;1;0;1;21;0;0;6;7;6;10.571428571428571;0;0;6;8;5;11.0;0;8.9;1.4;3.51;0
1;1;1;9085;1;Secondary;149.0;Portugese;Basic_Education;Basic_Education;Service/Sales;Service/Sales;137.1;1;0;0;1;0;1;18;0;0;5;7;4;13.25;0;0;5;5;5;12.0;0;10.8;1.4;1.74;0
1;1;1;9773;1;Secondary;127.0;Portugese;Basic_Education;Basic_Education;Unskilled/Elementary;Intermediate/Tech;120.7;1;0;0;1;0;0;20;0;0;6;6;5;13.2;0;0;6;7;0;0.0;0;15.5;2.8;-4.06;1
1;18;1;9238;1;Secondary;137.0;Portugese;Basic_Education;Basic_Education;Service/Sales;Operators/Assembly;137.4;1;0;0;1;0;0;18;0;0;6;10;1;12.0;0;0;6;14;2;11.0;0;10.8;1.4;1.74;0
1;17;2;9500;1;Secondary;135.0;Portugese;Basic_Education;Secondary;Service/Sales;Administrative;127.3;1;0;0;1;0;0;18;0;0;7;8;7;13.30625;0;0;8;8;8;14.545;0;15.5;2.8;-4.06;0
1;1;1;9130;1;Secondary;137.0;Portugese;Undergraduate;Basic_Education;Intermediate/Tech;Service/Sales;136.3;1;0;0;1;0;0;20;0;0;5;8;4;12.5;1;0;5;8;4;12.25;2;10.8;1.4;1.74;0
1;1;1;9853;1;Secondary;140.0;Portugese;Basic_Education;Basic_Education;Skilled Trades;Skilled Trades;124.6;1;0;0;1;0;0;18;0;0;7;7;6;11.666666666666666;0;0;7;8;6;13.5;0;16.2;0.3;-0.92;0
1;1;3;171;1;Secondary;122.0;Portugese;Secondary;Secondary;Unskilled/Elementary;Operators/Assembly;120.3;0;0;0;1;0;1;21;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;11.1;0.6;2.02;0
1;18;4;9556;1;Secondary;127.0;Portugese;Secondary;Basic_Education;Administrative;Skilled Trades;121.8;1;0;0;1;0;0;20;0;0;7;14;7;11.4375;0;0;8;9;8;11.425;0;12.7;3.7;-1.7;0
1;1;4;9500;1;Secondary;142.0;Portugese;Basic_Education;Basic_Education;Management;Management;125.5;1;0;0;1;0;0;18;0;0;8;12;7;12.857142857142858;0;0;8;12;7;12.857142857142858;0;12.7;3.7;-1.7;0
1;1;4;9670;1;Secondary;125.0;Portugese;Secondary;Basic_Education;Administrative;Skilled Trades;114.9;1;0;0;1;0;1;19;0;0;6;8;6;13.375;0;0;6;7;6;12.285714285714286;0;11.1;0.6;2.02;0
1;1;1;9500;1;Secondary;126.0;Portugese;Basic_Education;Basic_Education;Intermediate/Tech;Skilled Trades;123.9;0;0;0;1;0;0;19;0;0;7;8;6;13.296666666666669;0;0;8;9;7;14.114285714285714;0;11.1;0.6;2.02;0
1;1;1;9238;1;Secondary;151.0;Portugese;Basic_Education;Basic_Education;Unskilled/Elementary;Unskilled/Elementary;157.0;1;0;1;1;0;1;18;0;0;6;8;5;11.6;0;0;6;12;4;11.0;0;7.6;2.6;0.32;0
1;17;2;9238;1;Secondary;115.0;Portugese;Basic_Education;Basic_Education;Skilled Trades;Operators/Assembly;116.4;1;0;0;1;0;0;21;0;0;6;9;6;11.375;0;0;6;9;6;13.285714285714286;0;16.2;0.3;-0.92;0
1;1;1;9085;1;Secondary;138.0;Portugese;Basic_Education;Basic_Education;Intermediate/Tech;Intermediate/Tech;131.0;1;0;0;1;0;0;18;0;0;5;9;5;12.666666666666666;2;0;5;7;4;13.0;0;9.4;-0.8;-3.12;0
1;1;1;9147;1;Secondary;135.0;Portugese;Basic_Education;Secondary;Unskilled/Elementary;Unskilled/Elementary;122.1;1;0;0;1;0;0;20;0;0;5;6;5;12.0;0;0;5;6;5;12.333333333333334;0;16.2;0.3;-0.92;0
1;17;2;9500;1;Secondary;127.0;Portugese;Undergraduate;Undergraduate;Management;Military;118.8;1;0;0;1;1;0;19;0;0;7;9;6;12.933333333333332;0;0;7;7;6;13.716666666666669;0;16.2;0.3;-0.92;0
1;44;1;9003;1;Technical/Specialized;150.0;Portugese;Postgraduate;Postgraduate;Administrative;High-Level Specialists;150.0;0;0;0;1;1;0;21;0;0;6;15;5;11.857142857142858;0;0;6;17;5;10.571428571428571;0;16.2;0.3;-0.92;0
1;51;1;9070;1;Secondary;125.0;Portugese;Technical/Specialized;Undergraduate;High-Level Specialists;High-Level Specialists;130.0;1;0;0;1;1;0;20;0;2;6;7;6;12.833333333333334;0;0;6;9;4;13.4;0;8.9;1.4;3.51;0
1;1;1;9147;1;Secondary;143.0;Portugese;Secondary;Secondary;Administrative;Skilled Agri/Fishery;138.8;0;0;0;0;1;0;18;0;0;5;9;3;11.333333333333334;0;0;5;8;2;13.5;0;8.9;1.4;3.51;0
1;18;1;8014;0;Secondary;138.0;Portugese;Basic_Education;Secondary;Unskilled/Elementary;Service/Sales;134.5;1;0;0;1;0;0;19;0;0;6;6;6;12.666666666666666;0;0;6;8;6;14.375;0;12.4;0.5;1.79;0
1;1;1;9991;0;Secondary;130.0;Portugese;Undergraduate;Basic_Education;Intermediate/Tech;Unskilled/Elementary;131.4;0;0;0;1;1;0;34;0;0;5;6;5;12.4;0;0;5;9;5;13.428571428571429;0;13.9;-0.3;0.79;0
1;39;1;33;1;Secondary;130.0;Portugese;Basic_Education;Basic_Education;Unskilled/Elementary;Skilled Agri/Fishery;102.5;0;0;1;0;1;0;37;0;0;7;7;0;0.0;0;0;7;7;1;10.0;0;8.9;1.4;3.51;1
1;43;1;9147;1;Secondary;140.0;Portugese;Basic_Education;Basic_Education;Skilled Agri/Fishery;Skilled Agri/Fishery;122.9;0;0;0;1;0;0;55;0;0;5;10;1;10.0;0;0;5;8;2;12.0;2;16.2;0.3;-0.92;1
4;39;1;9991;0;Secondary;120.0;Portugese;Basic_Education;Basic_Education;Unskilled/Elementary;Intermediate/Tech;113.9;1;0;0;1;0;0;39;0;0;5;8;5;11.0;0;0;5;5;5;11.6;0;7.6;2.6;0.32;0
1;44;1;9130;1;Technical/Specialized;120.0;Europe;Postgraduate;Postgraduate;Intermediate/Tech;Skilled Agri/Fishery;120.0;0;0;1;0;0;0;20;1;2;6;13;3;11.666666666666666;0;1;6;11;3;12.0;0;12.4;0.5;1.79;1
1;1;5;9773;1;Secondary;126.0;Portugese;Undergraduate;Undergraduate;High-Level Specialists;High-Level Specialists;121.1;0;0;1;1;0;0;18;0;0;6;6;4;12.75;0;0;5;5;0;0.0;0;12.7;3.7;-1.7;1
1;1;2;9147;1;Secondary;133.0;Portugese;Undergraduate;Basic_Education;High-Level Specialists;Skilled Trades;120.4;1;0;0;1;0;0;22;0;0;5;5;5;14.8;0;0;5;5;5;15.8;0;8.9;1.4;3.51;0
1;1;6;9500;1;Secondary;103.0;Portugese;Secondary;Undergraduate;High-Level Specialists;High-Level Specialists;100.6;1;1;0;1;0;0;22;0;0;7;9;5;13.928;0;0;8;9;7;14.342857142857142;0;11.1;0.6;2.02;0
1;17;1;9773;1;Secondary;120.0;Portugese;Secondary;Basic_Education;Service/Sales;Service/Sales;121.4;0;0;0;0;0;0;20;0;0;6;7;4;13.0;0;0;6;7;5;13.8;0;12.4;0.5;1.79;1
1;39;1;9991;0;Secondary;133.1;Portugese;Basic_Education;Basic_Education;Unskilled/Elementary;Unskilled/Elementary;109.7;0;0;0;1;0;0;29;0;0;5;0;0;0.0;0;0;5;0;0;0.0;0;16.2;0.3;-0.92;1
1;17;1;9991;0;Secondary;154.0;Portugese;Basic_Education;Basic_Education;Administrative;Service/Sales;134.1;0;0;0;1;0;0;24;0;0;5;9;2;11.5;0;0;5;11;3;14.333333333333334;1;7.6;2.6;0.32;0
1;17;2;9238;1;Secondary;130.0;Portugese;Basic_Education;Basic_Education;Unskilled/Elementary;Unskilled/Elementary;127.6;1;0;0;1;0;0;18;0;0;6;6;6;11.666666666666666;0;0;6;8;5;13.2;0;11.1;0.6;2.02;0
1;17;6;9500;1;Secondary;132.0;Portugese;Basic_Education;Basic_Education;Skilled Trades;Skilled Trades;132.4;1;0;0;1;0;1;22;0;0;7;8;6;13.516666666666666;0;0;8;9;7;13.771428571428572;0;11.1;0.6;2.02;0
1;44;1;8014;0;Technical/Specialized;130.0;Portugese;Secondary;Basic_Education;Unskilled/Elementary;Unskilled/Elementary;133.4;0;0;0;1;0;1;21;0;3;6;6;6;11.5;0;2;6;7;6;13.285714285714286;0;12.4;0.5;1.79;0
1;1;1;9238;1;Secondary;139.0;Portugese;Basic_Education;Basic_Education;Unskilled/Elementary;Unskilled/Elementary;126.1;0;0;0;1;0;1;19;0;0;6;7;5;12.333333333333334;0;0;6;7;6;12.833333333333334;0;12.7;3.7;-1.7;0
1;39;1;9254;1;Secondary;130.0;Portugese;Basic_Education;Basic_Education;Unskilled/Elementary;Skilled Trades;113.5;0;0;0;1;0;1;24;0;0;6;6;6;13.666666666666666;0;0;6;6;6;14.166666666666666;0;12.4;0.5;1.79;0
1;1;1;9500;1;Secondary;139.0;Portugese;Basic_Education;Basic_Education;Skilled Agri/Fishery;Skilled Agri/Fishery;121.3;1;0;0;1;0;1;19;0;0;8;10;6;11.833333333333334;0;0;8;10;6;11.833333333333334;0;9.4;-0.8;-3.12;0
1;1;1;9773;1;Secondary;127.0;Portugese;Secondary;Basic_Education;Skilled Trades;Skilled Trades;121.8;1;0;0;1;0;1;20;0;0;6;11;4;14.0;0;0;6;12;3;11.0;0;9.4;-0.8;-3.12;0
1;1;3;9130;1;Secondary;167.0;Portugese;Basic_Education;Basic_Education;Student/Other;Student/Other;159.3;0;0;0;1;0;0;19;0;0;5;7;5;14.714285714285714;0;0;5;5;5;15.8;0;7.6;2.6;0.32;0
1;39;1;9991;0;Secondary;130.0;Portugese;Basic_Education;Basic_Education;Unskilled/Elementary;Unskilled/Elementary;120.0;0;0;0;1;0;0;27;0;0;5;12;5;10.6;0;0;5;10;5;11.0;0;9.4;-0.8;-3.12;1
1;1;1;9500;1;Secondary;130.0;Portugese;Secondary;Basic_Education;Service/Sales;Service/Sales;129.1;1;0;0;1;0;0;18;0;0;7;9;7;13.044444444444444;0;0;8;10;8;13.595;0;15.5;2.8;-4.06;0
2;7;1;9254;1;Undergraduate;130.0;Portugese;Secondary;Undergraduate;Administrative;Intermediate/Tech;130.0;0;0;0;1;0;0;39;0;0;6;10;0;0.0;0;0;6;6;0;0.0;0;12.4;0.5;1.79;1
1;39;1;9130;1;Undergraduate;129.0;Portugese;Undergraduate;Undergraduate;High-Level Specialists;High-Level Specialists;155.3;1;0;0;1;0;0;27;0;0;6;9;5;13.0;0;5;11;13;10;12.9;0;12.4;0.5;1.79;1
1;17;1;9500;1;Secondary;141.0;Portugese;Basic_Education;Basic_Education;Skilled Trades;Military;139.8;1;0;0;1;0;0;18;0;0;8;8;8;14.935;0;0;8;8;8;14.935;0;9.4;-0.8;-3.12;0
1;1;3;171;1;Secondary;125.0;Portugese;Basic_Education;Basic_Education;Administrative;Unskilled/Elementary;115.2;1;0;0;1;0;0;18;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;7.6;2.6;0.32;0
1;1;2;9500;1;Secondary;125.0;Portugese;Basic_Education;Basic_Education;Unskilled/Elementary;Unskilled/Elementary;114.9;0;0;0;1;0;0;18;0;0;7;8;6;13.133333333333333;0;0;8;12;7;12.221428571428572;0;16.2;0.3;-0.92;0
1;44;1;9238;1;Technical/Specialized;130.0;Portugese;Basic_Education;Secondary;Unskilled/Elementary;Unskilled/Elementary;131.9;0;0;0;1;0;1;21;0;3;6;7;6;12.0;0;2;6;7;6;12.0;0;13.9;-0.3;0.79;0
1;17;3;171;1;Secondary;133.0;Portugese;Secondary;Basic_Education;Administrative;Skilled Trades;126.0;1;0;0;1;1;1;19;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;10.8;1.4;1.74;0
1;17;1;9070;1;Secondary;127.0;Portugese;Secondary;Secondary;Intermediate/Tech;Administrative;130.2;1;0;0;1;1;0;19;0;0;6;6;5;11.4;0;0;6;8;1;10.0;0;10.8;1.4;1.74;0
1;43;1;9070;1;Secondary;116.0;Portugese;Secondary;Secondary;Intermediate/Tech;Intermediate/Tech;120.9;0;0;0;1;1;0;24;0;0;6;6;0;0.0;0;0;6;6;0;0.0;0;12.7;3.7;-1.7;0
4;42;1;9500;1;Basic_Education;133.1;Portugese;Secondary;Secondary;Service/Sales;Service/Sales;126.0;1;0;0;1;1;0;29;0;2;7;10;5;11.9;0;1;8;10;5;11.0;0;13.9;-0.3;0.79;1
1;1;3;171;1;Secondary;139.0;Portugese;Basic_Education;Basic_Education;Service/Sales;Intermediate/Tech;128.2;1;0;0;1;1;1;19;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;10.8;1.4;1.74;0
1;44;1;9003;1;Technical/Specialized;130.0;Portugese;Basic_Education;Basic_Education;Unskilled/Elementary;Unskilled/Elementary;130.0;1;0;0;1;1;0;23;0;0;6;8;6;12.571428571428571;0;0;6;7;6;12.428571428571429;0;8.9;1.4;3.51;0
1;1;3;9147;1;Secondary;125.0;Portugese;Secondary;Basic_Education;Skilled Trades;Skilled Trades;120.1;0;0;1;1;1;0;19;0;0;5;8;5;11.2;0;0;5;10;4;10.75;3;16.2;0.3;-0.92;1
1;39;1;9254;1;Secondary;160.0;Portugese;Basic_Education;Basic_Education;Skilled Trades;Military;100.0;0;0;0;1;1;0;26;0;0;6;7;6;12.0;0;0;6;8;5;10.8;0;12.7;3.7;-1.7;0
1;17;1;9147;1;Secondary;148.0;Portugese;Basic_Education;Basic_Education;Service/Sales;Service/Sales;134.0;0;0;0;1;1;0;18;0;0;5;9;0;0.0;0;0;5;5;0;0.0;0;7.6;2.6;0.32;0
1;17;1;9500;1;Secondary;150.0;Portugese;Basic_Education;Basic_Education;Operators/Assembly;Administrative;130.8;0;0;0;1;1;0;24;0;0;7;8;7;11.975;0;0;8;8;8;13.75;0;13.9;-0.3;0.79;0
1;1;1;171;1;Secondary;141.0;Portugese;Basic_Education;Basic_Education;Service/Sales;Military;135.8;1;0;0;1;1;0;19;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;15.5;2.8;-4.06;1
1;17;4;9254;1;Secondary;118.0;Portugese;Basic_Education;Basic_Education;Service/Sales;Skilled Trades;111.7;1;0;0;1;1;0;18;0;0;6;12;3;11.666666666666666;0;0;6;12;1;12.0;0;12.4;0.5;1.79;1
1;1;2;9773;1;Secondary;142.0;Portugese;Basic_Education;Basic_Education;Unskilled/Elementary;Unskilled/Elementary;132.9;1;0;0;1;1;0;18;0;0;6;8;6;12.333333333333334;0;0;6;11;3;12.333333333333334;0;10.8;1.4;1.74;0
1;17;3;9147;1;Secondary;120.0;Portugese;Basic_Education;Basic_Education;Administrative;Skilled Trades;115.5;1;0;1;1;1;0;18;0;0;5;8;3;10.333333333333334;0;0;5;11;3;10.857142857142858;0;10.8;1.4;1.74;1
1;18;4;9254;1;Secondary;106.0;Portugese;Basic_Education;Basic_Education;Skilled Trades;Skilled Trades;106.0;1;0;0;1;1;1;21;0;0;6;8;4;10.5;0;0;6;11;1;11.0;0;9.4;-0.8;-3.12;1
1;17;4;9773;1;Secondary;121.0;Portugese;Secondary;Basic_Education;Unskilled/Elementary;Operators/Assembly;120.3;1;0;1;1;1;1;19;0;0;6;6;6;13.666666666666666;0;0;6;6;6;13.333333333333334;0;8.9;1.4;3.51;0
1;17;4;9500;1;Secondary;150.0;Portugese;Basic_Education;Basic_Education;Unskilled/Elementary;Unskilled/Elementary;130.8;0;0;0;1;1;1;22;0;0;7;7;7;14.842857142857142;0;0;8;9;8;15.055555555555555;0;16.2;0.3;-0.92;0
2;39;1;8014;0;Secondary;120.0;Portugese;Basic_Education;Basic_Education;Unskilled/Elementary;Skilled Agri/Fishery;117.0;0;0;0;1;1;0;33;0;0;6;8;6;12.0;0;0;6;6;6;11.666666666666666;0;10.8;1.4;1.74;0
1;1;6;9853;1;Secondary;114.0;Portugese;Basic_Education;Basic_Education;Unskilled/Elementary;Unskilled/Elementary;110.2;1;0;0;1;1;0;20;0;0;6;8;5;12.2;0;0;6;7;5;12.2;0;10.8;1.4;1.74;1
1;39;1;9991;0;Undergraduate;140.0;Portugese;Undergraduate;Undergraduate;High-Level Specialists;High-Level Specialists;155.7;1;0;0;1;1;0;35;0;0;1;1;0;0.0;1;0;5;0;0;0.0;0;10.8;1.4;1.74;1
1;39;1;9003;1;Postgraduate;160.0;Portugese;Undergraduate;Undergraduate;Administrative;High-Level Specialists;180.4;0;0;1;1;1;0;24;0;6;12;17;6;12.166666666666666;0;7;12;14;10;13.3;0;12.4;0.5;1.79;1
1;17;1;9254;1;Secondary;120.0;Portugese;Basic_Education;Basic_Education;Administrative;Administrative;125.5;0;0;0;1;1;0;18;0;0;5;6;5;12.0;0;0;5;8;3;11.333333333333334;0;12.7;3.7;-1.7;0
2;39;1;8014;0;Secondary;130.0;Portugese;Basic_Education;Basic_Education;Unskilled/Elementary;Skilled Agri/Fishery;110.0;1;0;0;1;0;0;33;0;0;6;7;6;11.0;0;0;6;11;5;11.0;0;9.4;-0.8;-3.12;0
1;42;1;9500;1;Secondary;160.0;Portugese;Basic_Education;Basic_Education;Unskilled/Elementary;Skilled Trades;161.0;1;0;0;1;0;1;22;0;0;8;8;7;13.08;0;0;8;8;7;13.08;0;10.8;1.4;1.74;0
1;39;1;9670;1;Secondary;120.0;Portugese;Secondary;Basic_Education;Administrative;Service/Sales;100.0;0;0;0;1;0;1;25;0;0;5;7;4;10.5;0;0;5;7;5;11.6;0;9.4;-0.8;-3.12;0
1;17;1;9070;1;Secondary;124.0;Portugese;Basic_Education;Basic_Education;Administrative;Student/Other;117.6;1;0;0;1;1;0;20;0;0;6;9;6;10.666666666666666;1;0;6;6;5;11.2;0;7.6;2.6;0.32;0
1;1;6;9147;1;Secondary;143.0;Portugese;Basic_Education;Basic_Education;Unskilled/Elementary;Unskilled/Elementary;128.7;1;0;0;1;1;0;23;0;0;5;6;4;14.0;0;0;5;5;5;13.8;0;11.1;0.6;2.02;0
1;43;2;9119;1;Secondary;115.0;Portugese;Basic_Education;Basic_Education;Unskilled/Elementary;Skilled Agri/Fishery;112.2;1;0;1;1;1;0;18;0;0;5;9;2;10.0;0;0;5;9;0;0.0;0;15.5;2.8;-4.06;0
1;39;1;9500;1;Secondary;133.1;Portugese;Secondary;Secondary;Administrative;Military;100.8;0;0;0;1;1;0;24;0;0;7;18;0;0.0;0;0;7;7;0;0.0;0;13.9;-0.3;0.79;1
1;17;2;9773;1;Secondary;133.1;South_America;Basic_Education;Secondary;Unskilled/Elementary;Unskilled/Elementary;105.0;1;0;0;0;0;0;21;1;0;6;6;6;14.0;0;0;6;6;6;13.5;0;8.9;1.4;3.51;0
1;15;1;9130;1;Secondary;133.1;South_America;Secondary;Secondary;Administrative;Administrative;100.0;0;0;0;1;0;0;26;1;0;6;7;2;12.0;1;0;6;6;0;0.0;0;8.9;1.4;3.51;1
2;39;1;8014;0;Secondary;133.1;Portugese;Basic_Education;Basic_Education;Unskilled/Elementary;Unskilled/Elementary;114.0;0;0;0;1;0;0;44;0;2;8;11;8;11.875;0;0;6;7;6;12.333333333333334;0;12.7;3.7;-1.7;0
1;15;1;9119;1;Secondary;130.0;Africa;Basic_Education;Undergraduate;Unskilled/Elementary;High-Level Specialists;137.0;1;0;0;1;1;0;19;1;0;5;9;5;14.0;0;0;5;11;3;13.25;0;13.9;-0.3;0.79;0
1;1;5;9773;1;Secondary;135.0;Portugese;Basic_Education;Secondary;Service/Sales;Service/Sales;124.9;1;0;0;1;0;0;18;0;0;6;6;6;13.666666666666666;0;0;6;6;6;13.333333333333334;0;8.9;1.4;3.51;0
1;1;5;9500;1;Secondary;132.0;Portugese;Basic_Education;Basic_Education;Skilled Trades;Skilled Trades;120.3;1;0;0;1;0;1;18;0;0;7;7;7;13.75;0;0;8;9;8;14.47777777777778;0;12.4;0.5;1.79;0
1;1;1;9085;1;Secondary;135.0;Portugese;Secondary;Undergraduate;Unskilled/Elementary;Management;134.3;1;0;0;1;0;0;19;0;0;5;7;5;14.2;2;0;5;7;5;13.8;0;12.7;3.7;-1.7;0
1;1;4;9500;1;Secondary;115.0;Portugese;Undergraduate;Undergraduate;High-Level Specialists;High-Level Specialists;111.5;1;0;1;0;0;0;19;0;0;7;10;4;11.96;0;0;7;7;0;0.0;0;13.9;-0.3;0.79;1
1;53;1;9085;1;Technical/Specialized;130.0;Portugese;Basic_Education;Basic_Education;Unskilled/Elementary;Unskilled/Elementary;128.8;0;0;0;1;0;0;21;0;7;10;12;8;12.875;0;4;9;14;5;13.4;0;8.9;1.4;3.51;1
1;1;4;171;1;Secondary;133.1;Portugese;Secondary;Secondary;Unskilled/Elementary;Military;110.0;1;0;0;1;0;0;20;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;16.2;0.3;-0.92;0
2;39;1;8014;0;Secondary;130.0;Portugese;Basic_Education;Basic_Education;Skilled Agri/Fishery;Service/Sales;113.5;1;0;0;1;0;0;36;0;0;6;0;0;0.0;0;0;6;0;0;0.0;0;9.4;-0.8;-3.12;1
4;39;1;9003;1;Secondary;133.1;Portugese;Basic_Education;Basic_Education;Unskilled/Elementary;Skilled Agri/Fishery;160.0;0;0;0;1;0;0;43;0;13;18;19;18;14.63157894736842;0;10;13;14;13;14.23076923076923;1;15.5;2.8;-4.06;0
1;18;1;9853;1;Secondary;123.0;Portugese;Basic_Education;Basic_Education;Unskilled/Elementary;Skilled Trades;117.4;1;0;0;1;0;0;19;0;0;6;0;0;0.0;0;0;6;0;0;0.0;0;11.1;0.6;2.02;1
1;51;1;9070;1;Secondary;130.0;Portugese;Undergraduate;Secondary;High-Level Specialists;Operators/Assembly;122.2;0;0;1;1;0;0;20;0;4;10;12;10;13.0;0;5;11;11;11;12.272727272727272;0;11.1;0.6;2.02;0
1;1;2;9238;1;Secondary;122.0;Portugese;Basic_Education;Basic_Education;Administrative;Skilled Trades;118.2;1;0;0;1;0;0;19;0;0;6;0;0;0.0;0;0;6;0;0;0.0;0;16.2;0.3;-0.92;1
1;1;1;9085;1;Secondary;113.0;Portugese;Secondary;Secondary;Administrative;Administrative;106.7;1;0;0;1;0;0;20;0;0;6;15;4;14.2;0;0;6;17;4;13.25;0;15.5;2.8;-4.06;1
1;1;5;9500;1;Secondary;111.0;Portugese;Undergraduate;Postgraduate;Administrative;Intermediate/Tech;108.2;1;0;0;1;0;0;20;0;2;7;9;6;13.266666666666666;0;0;7;10;5;12.3;0;12.4;0.5;1.79;1
1;17;2;9853;1;Secondary;133.1;Portugese;Basic_Education;Secondary;Unskilled/Elementary;Intermediate/Tech;107.0;1;0;0;1;0;0;20;0;0;7;12;6;11.666666666666666;0;0;7;10;3;13.0;0;16.2;0.3;-0.92;0
1;1;1;9238;1;Secondary;142.0;Portugese;Basic_Education;Basic_Education;Skilled Agri/Fishery;Skilled Trades;136.1;1;0;0;1;0;0;18;0;0;6;8;6;13.857142857142858;0;0;6;6;6;15.0;0;13.9;-0.3;0.79;0
1;17;2;9147;1;Secondary;123.0;Portugese;Secondary;Basic_Education;Administrative;Skilled Trades;115.3;1;0;0;1;0;1;18;0;0;5;9;3;13.0;0;0;5;11;3;11.0;0;8.9;1.4;3.51;0
